date,open,high,low,close
2010-06-01,986.015,994.793,948.118,973.233
2010-06-02,967.609,997.119,952.611,997.119
2010-06-03,1002.355,1026.702,997.775,998.394
2010-06-04,989.681,1027.681,986.504,1027.681
2010-06-07,1005.028,1075.225,1001.702,1069.468
2010-06-08,1067.324,1075.503,1050.965,1067.154
2010-06-09,1070.852,1102.098,1069.431,1077.823
2010-06-10,1077.675,1119.106,1076.281,1117.478
2010-06-11,1122.443,1128.228,1118.706,1122.199
2010-06-17,1126.13,1129.685,1064.839,1064.839
2010-06-18,1052.067,1053.138,993.174,1000.277
2010-06-21,991.957,1043.156,976.414,1040.802
2010-06-22,1037.039,1057.365,1033.647,1034.995
2010-06-23,1026.865,1056.348,1023.737,1047.337
2010-06-24,1046.759,1059.754,1041.539,1050.601
2010-06-25,1046.212,1046.212,999.163,1016.283
2010-06-28,1009.223,1014.413,984.216,987.827
2010-06-29,985.572,992.227,912.54,913.309
2010-06-30,898.291,921.81,881.36,919.314
2010-07-01,914.395,921.214,882.19,882.19
2010-07-02,878.951,885.338,832.623,873.12
2010-07-05,857.369,870.863,842.733,862.268
2010-07-06,859.258,898.445,857.797,893.718
2010-07-07,896.532,908.549,890.336,908.549
2010-07-08,911.997,914.296,887.027,905.509
2010-07-09,903.496,936.53,896.886,932.147
2010-07-12,931.535,941.071,924.058,930.173
2010-07-13,924.948,936.644,906.304,931.08
2010-07-14,929.749,937.932,916.074,922.362
2010-07-15,920.046,930.555,892.557,892.557
2010-07-16,885.067,895.056,869.022,892.298
2010-07-19,881.656,910.176,878.065,908.049
2010-07-20,909.543,937.545,909.543,937.017
2010-07-21,940.097,959.038,938.16,941.25
2010-07-22,938.218,950.209,932.019,950.209
2010-07-23,951.84,964.743,948.126,960.588
2010-07-26,962.76,966.732,954.759,966.154
2010-07-27,963.544,968.04,955.731,957.967
2010-07-28,955.188,972.534,954.521,972.534
2010-07-29,974.295,982.015,965.606,975.362
2010-07-30,971.663,971.663,955.918,968.431
2010-08-02,968.45,994.228,968.45,994.228
2010-08-03,995.195,996.263,975.645,975.645
2010-08-04,971.407,978.014,955.93,978.014
2010-08-05,980.27,998.101,978.333,987.351
2010-08-06,987.967,1011.39,985.63,1011.39
2010-08-09,1013.245,1032.339,1013.245,1032.339
2010-08-10,1031.978,1034.332,993.992,993.992
2010-08-11,991.278,1006.448,990.94,1004.637
2010-08-12,994.052,1007.576,987.978,991.777
2010-08-13,992.626,1007.52,986.623,1007.206
2010-08-16,1007.498,1031.052,1005.052,1030.217
2010-08-17,1031.075,1036.821,1023.079,1033.581
2010-08-18,1033.707,1035.611,1018.496,1026.722
2010-08-19,1026.983,1033.248,1021.704,1025.526
2010-08-20,1021.458,1022.448,993.56,995.944
2010-08-23,994.938,1001.183,991.518,995.613
2010-08-24,993.576,1007.76,987.224,1004.985
2010-08-25,1000.269,1002.329,976.555,976.878
2010-08-26,978.598,984.868,973.002,980.63
2010-08-27,978.514,1000.861,975.72,999.456
2010-08-30,1002.987,1025.153,1002.987,1024.928
2010-08-31,1020.747,1029.802,1015.133,1025.57
2010-09-01,1025.678,1029.805,987.588,995.586
2010-09-02,1001.597,1018.275,996.524,1014.922
2010-09-03,1017.637,1045.213,1017.51,1036.703
2010-09-06,1039.464,1043.24,1007.426,1010.764
2010-09-07,1010.115,1022.622,1007.637,1022.622
2010-09-08,1020.229,1027.637,1016.836,1026.327
2010-09-09,1029.106,1040.67,1019.688,1021.832
2010-09-10,1021.874,1037.511,1016.191,1034.939
2010-09-13,1034.39,1045.39,1033.254,1042.482
2010-09-14,1044.302,1046.132,1028.769,1031.219
2010-09-15,1029.52,1030.021,987.049,990.103
2010-09-16,989.488,994.954,964.528,972.602
2010-09-17,976.071,981.728,967.555,972.229
2010-09-20,972.445,975.262,947.414,949.195
2010-09-21,952.072,953.834,930.248,934.461
2010-09-27,936.213,951.837,930.865,950.671
2010-09-28,949.631,949.889,939.631,942.049
2010-09-29,941.268,944.174,924.415,926.758
2010-09-30,923.825,942.539,921.357,942.539
2010-10-08,946.469,963.18,945.618,959.863
2010-10-11,960.913,961.173,941.912,947.11
2010-10-12,946.626,959.976,945.011,951.79
2010-10-13,951.326,962.738,940.645,962.738
2010-10-14,963.286,975.907,956.864,958.495
2010-10-15,954.117,957.769,937.12,944.254
2010-10-18,941.874,941.874,913.816,932.359
2010-10-19,932.826,1005.591,932.323,995.922
2010-10-20,986.654,1024.579,986.033,1004.542
2010-10-21,1001.682,1001.682,983.656,991.842
2010-10-22,991.135,1023.703,991.135,1013.448
2010-10-25,1018.084,1043.087,1018.084,1039.054
2010-10-26,1041.532,1041.914,1020.942,1036.007
2010-10-27,1034.864,1048.556,1028.696,1030.593
2010-10-28,1024.697,1038.622,1023.492,1038.622
2010-10-29,1042.401,1069.754,1042.401,1064.522
2010-11-01,1071.628,1113.623,1071.628,1107.523
2010-11-02,1108.093,1108.093,1074.58,1075.151
2010-11-03,1063.2,1063.2,1040.548,1040.621
2010-11-04,1041.419,1057.714,1037.239,1057.714
2010-11-05,1067.873,1072.219,1058.259,1072.219
2010-11-08,1077.504,1107.061,1077.504,1107.061
2010-11-09,1110.434,1117.521,1102.014,1115.648
2010-11-10,1115.743,1147.481,1113.754,1141.582
2010-11-11,1137.079,1163.698,1132.358,1132.722
2010-11-12,1126.854,1140.634,1080.266,1082.24
2010-11-15,1087.807,1148.539,1086.517,1148.539
2010-11-16,1154.409,1175.311,1111.496,1126.175
2010-11-17,1115.12,1132.862,1080.933,1085.349
2010-11-18,1090.138,1102.845,1077.059,1102.845
2010-11-19,1106.753,1153.171,1105.594,1153.171
2010-11-22,1153.264,1194.196,1151.764,1174.938
2010-11-23,1172.06,1183.842,1148.814,1183.502
2010-11-24,1176.424,1208.45,1174.675,1208.45
2010-11-25,1212.768,1215.741,1177.826,1186.358
2010-11-26,1184.803,1200.498,1179.278,1196.019
2010-11-29,1195.313,1221.745,1193.414,1220.11
2010-11-30,1219.076,1219.117,1146.975,1181.504
2010-12-01,1176.613,1182.573,1169.892,1177.175
2010-12-02,1187.103,1192.798,1177.813,1177.84
2010-12-03,1177.169,1178.674,1148.088,1157.939
2010-12-06,1157.72,1159.297,1124.935,1134.383
2010-12-07,1132.328,1162.582,1123.762,1161.692
2010-12-08,1160.923,1176.42,1158.101,1160.239
2010-12-09,1158.817,1160.912,1144.181,1144.531
2010-12-10,1139.828,1167.677,1136.33,1166.801
2010-12-13,1175.509,1210.753,1175.509,1209.271
2010-12-14,1211.463,1219.711,1204.664,1218.52
2010-12-15,1217.808,1224.045,1209.289,1211.804
2010-12-16,1209.62,1233.617,1209.344,1225.03
2010-12-17,1222.927,1233.389,1222.927,1232.982
